category,name,latitude,longitude,is_closed,rating,url,review_count,transactions,address,zip_code
indpak,Tilak,37.74085,-122.42273,False,4.5,https://www.yelp.com/biz/tilak-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,236,"['delivery', 'pickup']","['3501 Mission St', 'San Francisco, CA 94110']",94110
cocktailbars,Violet's,37.78181,-122.48396,False,3.5,https://www.yelp.com/biz/violets-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,152,[],"['2301 Clement St', 'San Francisco, CA 94121']",94121
burgers,Burger Shack,37.80548,-122.41212,False,4.5,https://www.yelp.com/biz/burger-shack-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,245,"['pickup', 'delivery']","['2237 Powell St', 'San Francisco, CA 94133']",94133
mexican,Tacorgasmico,37.7632910125469,-122.433849088848,False,4.0,https://www.yelp.com/biz/tacorgasmico-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,252,"['pickup', 'delivery']","['2337 Market St', 'San Francisco, CA 94114']",94114
italian,PRAIRIE,37.76003,-122.41984,False,4.0,https://www.yelp.com/biz/prairie-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,133,[],"['3431 19th St', 'San Francisco, CA 94110']",94110
newamerican,Aliment,37.79012,-122.41019,False,4.0,https://www.yelp.com/biz/aliment-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,586,['pickup'],"['786 Bush St', 'San Francisco, CA 94108']",94108
bars,Fly Bar,37.77675,-122.43785,False,4.0,https://www.yelp.com/biz/fly-bar-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,749,"['pickup', 'delivery']","['762 Divisadero St', 'San Francisco, CA 94117']",94117
newamerican,Magnolia Dogpatch,37.7577823468635,-122.388138502442,False,3.5,https://www.yelp.com/biz/magnolia-dogpatch-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,106,[],"['2505 3rd St', 'San Francisco, CA 94107']",94107
sushi,Tsubasa Sushi,37.77722,-122.4233,False,4.0,https://www.yelp.com/biz/tsubasa-sushi-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,396,['restaurant_reservation'],"['429 Gough St', 'San Francisco, CA 94102']",94102
italian,Dispensa Italian Charcoal Kitchen,37.78278,-122.411046,False,4.5,https://www.yelp.com/biz/dispensa-italian-charcoal-kitchen-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,84,[],"['39 Taylor St', 'San Francisco, CA 94102']",94102
popuprestaurants,Anomaly,37.7890183,-122.3915063,False,5.0,https://www.yelp.com/biz/anomaly-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,47,[],"['San Francisco, CA 94105']",94105
japanese,Sushirrito,37.7902241805415,-122.403766215939,False,4.0,https://www.yelp.com/biz/sushirrito-san-francisco-55?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,1508,[],"['226 Kearny St', 'San Francisco, CA 94108']",94108
dimsum,Golden Saba Seafood,37.79552,-122.40434,False,4.5,https://www.yelp.com/biz/golden-saba-seafood-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,134,[],"['646 Washington St', 'San Francisco, CA 94111']",94111
pizza,Doppio Zero,37.7767734,-122.4226963,False,4.0,https://www.yelp.com/biz/doppio-zero-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,200,[],"['395 Hayes St', 'San Francisco, CA 94102']",94102
italian,Francisca's,37.7485021,-122.4179751,False,4.5,https://www.yelp.com/biz/franciscas-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,138,['delivery'],"['3047 Mission St', 'San Francisco, CA 94110']",94110
newamerican,Nico,37.795885,-122.403146,False,4.0,https://www.yelp.com/biz/nico-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,289,[],"['710 Montgomery St', 'San Francisco, CA 94111']",94111
thai,Thep Eatery,37.771317,-122.430458,False,4.5,https://www.yelp.com/biz/thep-eatery-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,28,['delivery'],"['400 Waller St', 'San Francisco, CA 94117']",94117
newamerican,Sessions at the Presidio,37.7991516086122,-122.447998051837,False,3.5,https://www.yelp.com/biz/sessions-at-the-presidio-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,498,[],"['1 Letterman Dr', 'Bldg D, Ste 150', 'San Francisco, CA 94129']",94129
steak,Alexander's Steakhouse,37.7793,-122.39568,False,4.0,https://www.yelp.com/biz/alexanders-steakhouse-san-francisco-7?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,1700,[],"['448 Brannan St', 'San Francisco, CA 94107']",94107
korean,Namu Stonepot - Dolores Park,37.761566,-122.425898,False,4.0,https://www.yelp.com/biz/namu-stonepot-dolores-park-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,31,[],"['499 Dolores St', 'San Francisco, CA 94110']",94110
newamerican,The Rotunda,37.7874117371449,-122.40635645157,False,4.0,https://www.yelp.com/biz/the-rotunda-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,1648,[],"['150 Stockton St', 'San Francisco, CA 94108']",94108
sportsbars,After Hours,37.74227,-122.49901,False,4.5,https://www.yelp.com/biz/after-hours-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,105,"['pickup', 'delivery']","['3044 Taraval St', 'San Francisco, CA 94116']",94116
mediterranean,NOVY Restaurant,37.75153,-122.43212,False,4.0,https://www.yelp.com/biz/novy-restaurant-san-francisco-6?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,410,"['pickup', 'delivery']","['4000 24th St', 'San Francisco, CA 94114']",94114
burgers,Wipeout Bar & Grill,37.8089998891953,-122.410252690316,False,3.5,https://www.yelp.com/biz/wipeout-bar-and-grill-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,1373,['restaurant_reservation'],"['Pier 39', 'Ste A02', 'San Francisco, CA 94133']",94133
mexican,El Buen Comer,37.7418033906311,-122.422228,False,4.0,https://www.yelp.com/biz/el-buen-comer-san-francisco-3?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,305,"['pickup', 'restaurant_reservation']","['3435 Mission St', 'San Francisco, CA 94110']",94110
thai,Ben Thai Cafe,37.78924,-122.42065,False,4.5,https://www.yelp.com/biz/ben-thai-cafe-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,468,['pickup'],"['1331 Polk St', 'San Francisco, CA 94109']",94109
sports_clubs,SPIN - San Francisco,37.7841835021973,-122.398963928223,False,4.0,https://www.yelp.com/biz/spin-san-francisco-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,284,[],"['690 Folsom St', 'San Francisco, CA 94107']",94107
cambodian,Braised + Bread,37.7891276,-122.4029268,False,4.5,https://www.yelp.com/biz/braised-bread-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,101,[],"['50 Post St', 'Ste 65', 'San Francisco, CA 94104']",94104
thai,House of Thai,37.7862824,-122.4183383,False,4.0,https://www.yelp.com/biz/house-of-thai-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,1350,"['pickup', 'delivery']","['901 Larkin St', 'San Francisco, CA 94109']",94109
newamerican,Park Tavern,37.80113,-122.409,False,4.0,https://www.yelp.com/biz/park-tavern-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,1560,[],"['1652 Stockton St', 'San Francisco, CA 94133']",94133
