category,name,latitude,longitude,is_closed,rating,image_url,review_count,transactions,region
acaibowls,Palmetto Superfoods,37.78333,-122.4614,False,5.0,https://s3-media4.fl.yelpcdn.com/bphoto/JCtt_KRCp2l8mnMy9wTNAA/o.jpg,52,"['pickup', 'delivery']",region
ethiopian,Moya,37.776067,-122.414074,False,4.0,https://s3-media4.fl.yelpcdn.com/bphoto/VWlxQMZqr8FV1bfnhYfHVg/o.jpg,370,"['pickup', 'delivery']",region
izakaya,Izakaya Yoki,37.789884,-122.412317,False,4.0,https://s3-media4.fl.yelpcdn.com/bphoto/D5d41uxYzjmKvSa4_cUALg/o.jpg,174,['restaurant_reservation'],region
japanese,KAIYŌ,37.79801,-122.42967,False,4.0,https://s3-media1.fl.yelpcdn.com/bphoto/Lkyv0Z48ip8WpBz2DdcXqA/o.jpg,259,['restaurant_reservation'],region
tea,Samovar Tea - Yerba Buena Gardens,37.7841774486315,-122.402068620684,False,4.0,https://s3-media3.fl.yelpcdn.com/bphoto/T_uEMIrpIxUZ5BL5dyKDoA/o.jpg,2396,"['pickup', 'restaurant_reservation', 'delivery']",region
thai,Saap Ver Authentic Thai Cuisine,37.7698933,-122.4045964,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/37ferHIhZ4E0qSonz5EDZw/o.jpg,447,"['pickup', 'restaurant_reservation']",region
korean,Muguboka Restaurant,37.77713,-122.46317,False,4.0,https://s3-media4.fl.yelpcdn.com/bphoto/hdzHKxZdW0Ac4w2V45fb8g/o.jpg,762,[],region
caribbean,Obispo,37.7524,-122.41779,False,4.5,https://s3-media4.fl.yelpcdn.com/bphoto/jB86HphvnnfoCQygEFC1BQ/o.jpg,74,[],region
cafes,Diamond Cafe,37.7512897856745,-122.43616884886,False,4.5,https://s3-media4.fl.yelpcdn.com/bphoto/fVNOYJxJXTfZy-IdcHnt7Q/o.jpg,134,[],region
mexican,El Buen Comer,37.7418033906311,-122.422228,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/Boih4zUzlpxbqIeUprWfGQ/o.jpg,306,"['pickup', 'restaurant_reservation']",region
